dep,general
bn,biblioteca nacional
ccatmosfera,centro de ciencias de la atmosfera
cce,instituto de investigaciones en matematicas aplicadas y sistemas
cch,cch
cdiciencias de la tierra,centro de ciencias de la tierra
cdictnam,centro de ciencias de la tierra
ce mayas,centro de estudios mayas
cefilosoficos,instituto de investigaciones filosoficas
cele,cele
celing,centro de estudios en linguistica hispanica
celinguisticos,centro de estudios en linguistica hispanica
celingustica h,centro de estudios en linguistica hispanica
celiterarios,centro de estudios literarios
celu,centro de estudios sobre la universidad
cen,centro de estudios nucleares
centro de calculo electronico,instituto de investigaciones en matematicas aplicadas y sistemas
centro de ceincias de la atmosfera,centro de ciencias de la atmosfera
centro de ciencias del mar y limnologia,centro de ciencias del mar y limnologia
centro de docencia en investigacion de ciencias de la tierra,centro de ciencias de la tierra
centro de est mayas,centro de estudios mayas
centro de estudios clasicos,centro de estudios clasicos
centro de estudios filosoficos,instituto de investigaciones filosoficas
centro de estudios literarios,centro de estudios literarios
centro de estudios mayas,centro de estudios mayas
centro de informacion cientifica y humanistica,centro de informacion cientifica y humanistica
centro de informacion ientifica y humanistica,centro de informacion cientifica y humanistica
centro de instrumentos,centro de instrumentos
centro de investigacion en materiales,instituto de investigaciones en materiales
centro de linguistica hispanica,centro de linguistica hispanica
centro de servicios de computo,centro de servicios de computo
centro de servicios de ocmputo,centro de servicios de computo
centro de trad lc,centro de estudios clasicos
centro scomputo,centro de servicios de computo
centro trad leng clasicas,centro de estudios clasicos
chamela,estacion de investigacion chamela
ci arq,centro de investigaciones en arquitectura
ci arqu,centro de investigaciones en arquitectura
ci arquitectonicas,centro de investigaciones en arquitectura
ci de materiales,instituto de investigaciones en materiales
ci materiales,instituto de investigaciones en materiales
cimas,instituto de investigaciones en matematicas aplicadas y sistemas
cimass,instituto de investigaciones en matematicas aplicadas y sistemas
cimateriales,instituto de investigaciones en materiales
ctradlenguas clas,centro de estudios clasicos
cuec,cuec
depto e fisica,depto educacion fisica
depto ef,depto educacion fisica
eim carmen,estacion de investigacion carmen
eim mazatlan,estacion de investigacion mazatlan
emb,instituto de investigaciones biomedicas
en trabajo social,ents
ena,facultad de arquitectura
enap,enap
enarq,facultad de arquitectura
enca,facultad de contaduria y administracion
encpys,fcpys
encq,facultad de quimica
ene,facultad de economia
eneo,eneo
enep ac,enep acatlan
enep acatlan,enep acatlan
enep actlan,enep acatlan
enep ar,enep aragon
enep c,enep cuautitlan
enep cuautitlan,enep cuautitlan
enep i,enep iztacala
enep iztacala,enep iztacala
enep z,enep zaragoza
enep ztacala,enep iztacala
enepac,enep acatlan
enepar,enep aragon
enepc,enep cuautitlan
enepi,enep iztacala
enepz,enep zaragoza
enesa,enep aragon
eni,facultad de ingenieria
enm,escuela nacional de musica
enmed,facultad de medicina
enmusica,escuela nacional de musica
enmvz,fmvz
enmz,fmvz
eno,fo
enp,enp
ents,ents
epe,escuela para extranjeros
escuela nacional de arquitectura,facultad de arquitectura
escuela nacional de enfermeria y obstetricia,eneo
escuela nacional de musica,escuela nacional de musica
escuela nacional de odontologia,fo
estacion de investigaciones marinas el carmen,estacion de investigacion carmen
f medicina,facultad de medicina
f medicina veterinaria y zootecnia,fmvz
f piscologia,facultad de psicologia
f quimica,facultad de quimica
facultad de ciencias,facultad de ciencias
facultad de ciencias politicas y sociales,fcpys
facultad de economia,facultad de economia
fc,facultad de ciencias
fca,facultad de contaduria y administracion
fcpys,fcpys
fcya,facultad de contaduria y administracion
fd,facultad de derecho
fderecho,facultad de derecho
fe,facultad de economia
ffyl,ffyl
fi,facultad de ingenieria
fm,facultad de medicina
fmvyz,fmvz
fmvz,fmvz
fo,fo
fodon,fo
fp,facultad de psicologia
fq,facultad de quimica
hn,hemeroteca nacional
ia,instituto de astronomia
ib,instituto de biologia
ib/jb,instituto de biologia
ibio,instituto de biologia
id comparado,instituto de investigaciones juridicas
idcomparado,instituto de investigaciones juridicas
ief,instituto de investigaciones filosoficas
iemb,instituto de investigaciones biomedicas
if,instituto de fisica
igeofisica,instituto de geofisica
igeogisica,instituto de geofisica
igeografia,instituto de geografia
igeologia,instituto de geologia
ih,instituto de investigaciones historicas
ii,instituto de ingenieria
iiantropo,instituto de investigaciones antropologicas
iiantropologia,instituto de investigaciones antropologicas
iiantropologicas,instituto de investigaciones antropologicas
iib,instituto de investigaciones bibliograficas
iibiblio,instituto de investigaciones bibliograficas
iibio,instituto de biologia
iibiomedicas,instituto de investigaciones biomedicas
iie,instituto de investigaciones esteticas
iiec,instituto de investigaciones economicas
iif,instituto de investigaciones filosoficas
iifilologicas,instituto de investigaciones filologicas
iih,instituto de investigaciones historicas
iij,instituto de investigaciones juridicas
iimas,instituto de investigaciones en matematicas aplicadas y sistemas
iimateriales,instituto de investigaciones en materiales
iis,instituto de investigaciones sociales
im,instituto de matematicas
imat,instituto de matematicas
imb,instituto de investigaciones biomedicas
instituto de astronomia,instituto de astronomia
instituto de biologia,instituto de biologia
iq,instituto de quimica
jb,jardin botanico
lab nuclear,centro de estudios nucleares
ln,centro de estudios nucleares
oan,observatorio astronomico nacional
obser astr n san pedro martir bc,observatorio astronomico nacional
observatorio astronomico nacional,observatorio astronomico nacional
of reg noro hermosillo,oficina regional noroeste hermosillo
oficreg noro hermosillo,oficina regional noroeste hermosillo
ofregnoro hermosnillo,oficina regional noroeste hermosillo
santropologia,instituto de investigaciones antropologicas
satropologia,instituto de investigaciones antropologicas
seccion antropologia,instituto de investigaciones antropologicas
sem estudio escritura maya,centro de estudios mayas
tuxtlas,centro de investigacion tuxtlas
