point,meancont,contdiso,contdisp
admin_admin,0.11539883358395844,0.11539883358395835,0.3531878281574938
admin_admin_f,0.009627349240442291,0.0096273492404423,0.004582960879065058
admin_auxadm,0.6088671063045631,0.6088671063045631,0.5431919400853914
admin_auxadm_f,0.005283087691343845,0.00528308769134385,0.0013306665348450956
admin_conf,0.1349956021883408,0.1349956021883408,0.11554763962543166
admin_conf_f,0.013118954366917398,0.013118954366917405,0.0034514439027138006
admin_espe,0.777314164261774,0.7773141642617736,0.4072511295534488
admin_espe_f,0.012044364190600988,0.012044364190600999,0.004070474415163041
admin_obre,0.13748533823174536,0.13748533823174508,0.09225932404525419
admin_obre_f,6.552348714330275e-4,6.552348714330284e-4,2.118372942509398e-4
admin_prof,0.08720447601564511,0.08720447601564513,0.05380671878895439
admin_prof_f,0.016514205122618038,0.01651420512261805,0.004769580721476161
admin_serv,0.5788589928049874,0.5788589928049873,0.31254629674016265
admin_serv_f,0.007124891486080465,0.007124891486080472,9.846114165762319e-4
admin_total,1.158454868681989,1.1584548686819893,1.2971104028589426
admin_total_f,0.006084400813328577,0.006084400813328582,0.0025654453354393373
cap_Salones_de_clase,12.894482807608785,12.894482807608785,19.64680387667568
cap_auditorios,8.549571916007507,8.549571916007507,3.73459858997832
cap_bibliotecas,1.015533902006438,1.0155339020064378,1.0985995126212107
cap_cafeterias,0.659759654982775,0.6597596549827746,0.5497584260338522
cap_cubiculos,11.651644985596272,11.651644985596265,5.338972542003088
cap_laboratorios,20.35358752504798,20.35358752504798,10.46541801962223
cap_oficinas_administrativas,0.36056502154149117,0.36056502154149106,0.48722189643222613
cap_talleres_de_docencia,20.565568487127614,20.565568487127603,7.447962079315454
docen_ayu_f,0.011252803816332469,0.011252803816332483,0.002627711047915364
docen_ayut,3.6842771321055245,3.6842771321055245,1.7401858185834778
docen_cat_f,0.005125452347962773,0.0051254523479627775,0.0014855593289408513
docen_catt,3.1654896810255226,3.1654896810255244,2.8296055342307143
docen_emet,0.024223663553912905,0.024223663553912915,0.008030250675993928
docen_mt_f,0.0066393127949154205,0.006639312794915424,0.0021573075930636128
docen_mtt,0.1871204885675361,0.18712048856753577,0.13368748574195022
docen_tc_f,0.004793449798514539,0.004793449798514544,0.0014468327050843903
docen_tct,0.6852565402943236,0.6852565402943214,0.17631198302715204
docen_tect,0.06591375340006063,0.06591375340006062,0.04757062626605702
docen_total_f,0.005030761076805279,0.0050307610768052825,0.0015522084226525647
docen_totalf,4.420088980361833,4.420088980361834,4.164615893767341
fem,0.016225867908745212,0.016225867908745223,0.0031670760626130476
inv_ay,0.09022452496393642,0.09022452496393646,0.029077588498703462
inv_ay_f,0.012100900915281841,0.012100900915281852,0.002631172450945899
inv_eme,0.012451335710931028,0.012451335710931037,0.0036285999345341776
inv_mt,0.01809148551725755,0.018091485517257564,0.0047567413501221735
inv_mt_f,0.010331930923903141,0.010331930923903148,0.0027569708760362445
inv_tc,0.5635585405211343,0.5635585405211323,0.05464453915672464
inv_tc_f,0.0033877804799649796,0.003387780479964982,0.001114741746790856
inv_tec,0.013325449746511122,0.013325449746511122,0.007990066544141094
inv_tec_f,0.005059589570035528,0.005059589570035531,0.0017314132647621588
inv_total,0.5747885033355138,0.5747885033355119,0.06805154472599484
inv_total_f,0.0028633770703992765,0.00286337707039928,0.0010015045185563654
n,8.099518981735654,8.099518981735654,40.017254110762565
num_Salones_de_clase,0.26474033401686,0.26474033401685965,0.30405745590689603
num_auditorios,0.021977357720970977,0.02197735772097098,0.0113040513675067
num_bibliotecas,0.04665552379985099,0.046655523799851,0.01913067364367784
num_cafeterias,0.004611816647488615,0.004611816647488619,0.0063161441030190335
num_cubiculos,0.1544879480020575,0.15448794800205695,0.12360184460236623
num_laboratorios,0.4386986132774685,0.438698613277467,0.21709948068951077
num_oficinas_administrativas,0.08692238571648447,0.08692238571648428,0.10548935435614877
num_talleres_de_docencia,1.5264725689355019,1.5264725689355019,0.45793779589705985
perm,0.008045871979111477,0.008045871979111486,0.005297345188453469
pern,0.009401145091677734,0.009401145091677743,0.005591391686310421
pert,0.008575209634212527,0.008575209634212535,0.005418986833840046
