dim,eigenvalue,pervariance,pval,year
1,0.04314013566143149,42.97862953135315,0,1959
2,0.02344161963730914,23.35385993946992,0,1959
3,0.014968380785917307,14.912342824580207,0,1959
4,0.00767231374231658,7.643590473780913,0,1959
1,0.045489095765286494,53.90237902698255,0,1961
2,0.01615251312940807,19.13994706406278,0,1961
3,0.00792501181149124,9.390755812347901,0,1961
4,0.004887253896769535,5.791159562811103,0,1961
1,0.046207530310795455,55.32222291556381,0,1962
2,0.018338652867566085,21.956054242388472,0,1962
3,0.005336906116697766,6.389640560348467,0,1962
4,0.0038945152409063837,4.662730054091365,0,1962
1,0.05407885775606423,54.64129763755325,0,1963
2,0.020422622214642385,20.635024948256163,0,1963
3,0.008002560278322834,8.085789829413786,0,1963
4,0.004897686562220327,4.948624292119341,0,1963
1,0.04748399542712888,58.95826482809263,0,1964
2,0.016785346290364263,20.84144105643506,0,1964
3,0.00424068781581794,5.265428762875641,0,1964
4,0.003261347095730795,4.0494352683845625,0,1964
1,0.06872186069898008,59.18197579274498,0,1965
2,0.02504510207082638,21.568371540098184,0,1965
3,0.009213463650751475,7.934461861190585,0,1965
4,0.004444387259531974,3.827422839427122,0,1965
1,0.07304358610404459,66.53165857072308,0,1966
2,0.019024174588618194,17.328145506394936,0,1966
3,0.004621409542260366,4.209405071421089,0,1966
4,0.0030922919620049957,2.8166102458887314,0,1966
1,0.07183022686236779,64.4018874603449,0,1967
2,0.024588854339105026,22.045992322425683,0,1967
3,0.0049018542732510734,4.394927888196846,0,1967
4,0.0029707065976009393,2.6634902927841484,0,1967
1,0.053961962893080695,57.026671279332,0,1968
2,0.02700466755560683,28.538366974391483,0,1968
3,0.0034466615560262838,3.642410783982522,0,1968
4,0.0033075987052222033,3.495450016530752,0,1968
1,0.03435708667598479,38.30003006453687,0,1969
2,0.02557426200212086,28.50925670144866,0,1969
3,0.01745319168159373,19.45618301200168,0,1969
4,0.004222273349854538,4.706836693262391,0,1969
1,0.03521875799342672,46.78064468031836,0,1970
2,0.02474970524326996,32.8747301975873,0,1970
3,0.0071356589647546135,9.478208364202306,0,1970
4,0.002786693187947195,3.7015304140694734,0,1970
1,0.030647100667133956,44.72649871965642,0,1971
2,0.018894031129949276,27.57402301513872,0,1971
3,0.007333152965612985,10.70203215272717,0,1971
4,0.006447990556101409,9.410222666221186,0,1971
1,0.16265807586452485,73.9325032889069,0,1972
2,0.024365026461179645,11.074564785063583,0,1972
3,0.016177606088157177,7.353160357777079,0,1972
4,0.006443084171183321,2.928556354456458,0,1972
1,0.030714722976736004,34.85598149981143,0,1973
2,0.02544048652352046,28.87062104651496,0,1973
3,0.012892912672666755,14.631260908247107,0,1973
4,0.00517231980602449,5.869702409702688,0,1973
1,0.028167910744032427,34.09858167519399,0,1974
2,0.01996902740783095,24.17344751720245,0,1974
3,0.014304241830227108,17.315957963018597,0,1974
4,0.005432680932425279,6.576515957216253,0,1974
1,0.027774511861300366,32.325154609648834,0,1975
2,0.021570720937796002,25.104919677360606,0,1975
3,0.014304238470218573,16.64787926542712,0,1975
4,0.006600016611464341,7.68137918884911,0,1975
1,0.03618055088434348,42.196510195067205,0,1976
2,0.021471792090270544,25.042036997715687,0,1976
3,0.009401367015479908,10.964589245321132,0,1976
4,0.005703524638976417,6.651884222153476,0,1976
1,0.05680480269626638,57.24862880864886,0,1977
2,0.017486979135694483,17.623608040271577,0,1977
3,0.008787812561969017,8.856473317760727,0,1977
4,0.005616492493822346,5.660375157090929,0,1977
1,0.07038525816545099,58.236453016627586,0,1978
2,0.018591166911780796,15.382249729583933,0,1978
3,0.012058850242555756,9.977439649853514,0,1978
4,0.007036425528176007,5.821907532304288,0,1978
1,0.05203205231423918,50.78737505851375,0,1979
2,0.016442174383131,16.048855273483774,0,1979
3,0.012267413851658224,11.973960675613666,0,1979
4,0.00925827795303859,9.036807388592342,0,1979
