year,dist,distw,udist,wdist
1959,7.409867981048147,0.18455609608006304,10.130772440496617,0.19104507731935041
1961,4.400346734279551,0.07671482248072559,5.815640231675672,0.08421001809828031
1962,3.6161191307367515,0.06295613012480906,4.809062011742834,0.07193400957576918
1963,3.8420752508980476,0.0669056920230287,5.089422050408801,0.07590119469360047
1964,2.9184439898208474,0.0507039683573633,3.7649554351127974,0.06068235268128799
1965,2.9762945174708046,0.051709938236160595,4.139505620194929,0.06265989901894742
1966,3.0552384176186296,0.05309636355504591,4.407733875174596,0.06346133790485545
1967,3.141641122311548,0.05367913983722365,4.67780651080782,0.06391060655993583
1968,3.68722677642924,0.06309072068805004,5.125932951215106,0.07188818318404769
1969,3.5387054447926634,0.06160001025084062,4.866517844858043,0.07106600318336832
1970,3.4536712903255595,0.05910688023831164,5.013746967700803,0.06870908464230928
1971,2.6492838197592055,0.04528779911755294,3.885145222994112,0.05391034984787889
1972,2.3268690787414097,0.03970192246064072,3.419486160440882,0.04963340389558943
1973,2.602915052900902,0.044493357048725805,3.83773634490359,0.05334993630990942
1974,2.2786894335646637,0.03888426031686784,3.4433347946633037,0.04888806889813825
1975,2.3137107750412462,0.039488046749850444,3.4433868549620894,0.04871508600621511
1976,2.1478786077367538,0.036018644094160605,3.216841364813624,0.045791077646331856
1977,2.097214683657082,0.03515135508802037,3.0845849754014085,0.04551971380348531
1978,2.098366103614322,0.03519410301581186,3.1509692177206503,0.045269190460258804
1979,1.9158994488541603,0.03264940663499426,2.900239230544976,0.043153010671507966
